City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mar Del Plata,AR,-38.0023,-57.5575,57.99,69,40,11.01,scattered clouds,2021-06-21 16:50:05
1,Gorom-Gorom,BF,14.4439,-0.2361,87.64,53,62,17.94,broken clouds,2021-06-21 16:50:25
2,Yellowknife,CA,62.456,-114.3525,61.32,44,20,2.3,few clouds,2021-06-21 16:50:26
3,Mount Gambier,AU,-37.8333,140.7667,40.91,93,98,9.22,overcast clouds,2021-06-21 16:50:26
4,Vaini,TO,-21.2,-175.2,66.36,94,20,2.3,mist,2021-06-21 16:50:26
5,Worthington,US,40.0931,-83.018,86.05,80,75,5.01,light rain,2021-06-21 16:49:30
6,Hilo,US,19.7297,-155.09,74.62,85,1,4.61,clear sky,2021-06-21 16:50:27
7,Kapaa,US,22.0752,-159.319,75.52,84,20,13.8,light rain,2021-06-21 16:50:27
8,Thompson,CA,55.7435,-97.8558,46.56,66,90,12.66,overcast clouds,2021-06-21 16:50:28
9,Sechelt,CA,49.4664,-123.7694,77.45,61,98,5.84,overcast clouds,2021-06-21 16:47:46
10,Garowe,SO,8.4054,48.4845,86.45,36,52,22.44,broken clouds,2021-06-21 16:50:28
11,Rikitea,PF,-23.1203,-134.9692,75.69,82,94,19.84,overcast clouds,2021-06-21 16:45:39
12,Dingle,PH,10.9995,122.6711,77.31,86,100,4.36,overcast clouds,2021-06-21 16:50:29
13,Ushtobe,KZ,45.2514,77.9838,61.77,60,99,18.7,moderate rain,2021-06-21 16:50:29
14,New Norfolk,AU,-42.7826,147.0587,40.66,89,7,2.8,clear sky,2021-06-21 16:50:30
15,Port-Gentil,GA,-0.7193,8.7815,80.56,78,75,9.22,broken clouds,2021-06-21 16:50:30
16,Codrington,AU,-38.2667,141.9667,42.71,83,94,7.7,overcast clouds,2021-06-21 16:50:30
17,Grand Gaube,MU,-20.0064,57.6608,70.2,69,99,4.0,light rain,2021-06-21 16:50:31
18,Kirakira,SB,-10.4544,161.9205,78.12,86,99,8.01,heavy intensity rain,2021-06-21 16:50:31
19,Busselton,AU,-33.65,115.3333,44.04,79,100,10.31,overcast clouds,2021-06-21 16:50:31
20,Mataura,NZ,-46.1927,168.8643,43.48,93,100,3.09,overcast clouds,2021-06-21 16:50:32
21,Port Alfred,ZA,-33.5906,26.891,71.87,38,9,10.89,clear sky,2021-06-21 16:50:32
22,Mayumba,GA,-3.432,10.6554,75.07,85,93,7.31,overcast clouds,2021-06-21 16:50:33
23,Vostok,RU,46.4856,135.8833,46.31,59,9,3.4,clear sky,2021-06-21 16:50:33
24,Atuona,PF,-9.8,-139.0333,79.54,75,25,16.98,scattered clouds,2021-06-21 16:50:33
