City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Xingcheng,CN,2021-06-25 16:01:46,40.6167,120.7167,65.37,95,79,12.01
1,Busselton,AU,2021-06-25 16:01:46,-33.65,115.3333,53.04,76,56,9.08
2,Cape Town,ZA,2021-06-25 16:01:47,-33.9258,18.4232,60.89,79,12,5.01
3,Arraial Do Cabo,BR,2021-06-25 16:01:47,-22.9661,-42.0278,73.44,72,48,21.9
4,Oistins,BB,2021-06-25 15:59:09,13.0667,-59.5333,86.09,62,40,18.41
5,Clyde River,CA,2021-06-25 16:01:48,70.4692,-68.5914,36.73,95,99,2.84
6,Vaini,TO,2021-06-25 16:01:48,-21.2,-175.2,72.03,67,100,24.81
7,Maltahohe,NA,2021-06-25 16:01:49,-24.8333,16.9833,64.33,19,1,11.81
8,Bethel,US,2021-06-25 16:01:49,41.3712,-73.414,73.71,81,90,3.44
9,Avarua,CK,2021-06-25 16:01:50,-21.2078,-159.775,75.67,86,100,17.43
10,Hobart,AU,2021-06-25 16:01:50,-42.8794,147.3294,46.26,96,90,0.0
11,Hilo,US,2021-06-25 16:00:08,19.7297,-155.09,79.29,83,79,2.24
12,Saint-Philippe,RE,2021-06-25 16:01:51,-21.3585,55.7679,69.39,83,12,10.04
13,Nikolskoye,RU,2021-06-25 16:01:51,59.7035,30.7861,81.88,53,14,4.41
14,Coahuayana,MX,2021-06-25 16:01:52,18.7333,-103.6833,87.57,59,81,2.91
15,Ancud,CL,2021-06-25 16:01:52,-41.8697,-73.8203,43.23,67,34,7.83
16,New Norfolk,AU,2021-06-25 16:01:53,-42.7826,147.0587,45.9,86,100,0.27
17,Port Alfred,ZA,2021-06-25 16:01:53,-33.5906,26.891,65.86,67,26,11.48
18,Rikitea,PF,2021-06-25 16:01:54,-23.1203,-134.9692,74.03,76,14,2.89
19,Pisco,PE,2021-06-25 16:01:54,-13.7,-76.2167,65.01,81,41,6.44
20,Naze,JP,2021-06-25 16:01:55,28.3667,129.4833,74.86,91,92,11.3
21,Port Lincoln,AU,2021-06-25 16:01:55,-34.7333,135.8667,52.21,65,98,11.61
22,Albany,US,2021-06-25 15:57:12,42.6001,-73.9662,77.63,54,100,6.2
23,Berlevag,NO,2021-06-25 16:01:56,70.8578,29.0864,51.6,78,86,14.29
24,Vangaindrano,MG,2021-06-25 16:01:56,-23.35,47.6,66.0,89,4,6.62
25,Kaliganj,BD,2021-06-25 16:01:57,23.4095,89.1402,81.32,86,10,10.65
26,Hay River,CA,2021-06-25 16:00:10,60.8156,-115.7999,65.84,57,43,6.58
27,Mataura,NZ,2021-06-25 16:01:58,-46.1927,168.8643,47.48,98,68,0.81
28,Dikson,RU,2021-06-25 16:01:58,73.5069,80.5464,30.88,91,81,13.18
29,La Grande,US,2021-06-25 16:01:59,45.3246,-118.0877,75.97,55,80,5.79
30,Bredasdorp,ZA,2021-06-25 16:01:59,-34.5322,20.0403,57.27,74,36,24.83
31,Meulaboh,ID,2021-06-25 16:02:00,4.1363,96.1285,74.77,92,100,8.16
32,Russell,US,2021-06-25 16:00:10,32.3502,-85.1999,81.91,58,75,5.75
33,Butaritari,KI,2021-06-25 16:02:01,3.0707,172.7902,82.44,77,99,15.14
34,Atuona,PF,2021-06-25 16:02:01,-9.8,-139.0333,78.26,78,14,15.88
35,Georgetown,MY,2021-06-25 16:02:02,5.4112,100.3354,80.89,83,20,0.0
36,Puerto Ayora,EC,2021-06-25 16:02:02,-0.7393,-90.3518,72.55,95,81,5.01
37,Tecoanapa,MX,2021-06-25 16:02:03,16.5167,-98.75,77.47,88,100,4.97
38,Aguimes,ES,2021-06-25 16:02:03,27.9054,-15.4461,73.65,57,20,25.32
39,Baracoa,CU,2021-06-25 16:02:04,20.3467,-74.4958,83.88,69,63,9.98
40,Samarai,PG,2021-06-25 16:02:04,-10.6167,150.6667,77.95,85,99,11.41
41,Thompson,CA,2021-06-25 16:01:16,55.7435,-97.8558,66.22,60,98,4.5
42,Hasaki,JP,2021-06-25 16:02:05,35.7333,140.8333,68.4,81,100,3.2
43,Bomet,KE,2021-06-25 16:02:05,-0.7813,35.3416,57.51,93,83,4.23
44,Cap Malheureux,MU,2021-06-25 16:02:06,-19.9842,57.6142,73.47,64,15,4.0
45,Hofn,IS,2021-06-25 16:02:06,64.2539,-15.2082,51.26,78,40,23.55
46,Chute-Aux-Outardes,CA,2021-06-25 16:02:07,49.1168,-68.399,59.92,70,100,12.84
47,Carballo,ES,2021-06-25 16:02:07,43.213,-8.691,85.42,78,7,10.09
48,Chokurdakh,RU,2021-06-25 16:02:08,70.6333,147.9167,65.84,41,4,11.92
49,Talnakh,RU,2021-06-25 16:02:08,69.4865,88.3972,47.88,58,94,22.35
50,Mega,ET,2021-06-25 16:02:09,4.05,38.3,62.1,59,99,11.14
51,Sao Filipe,CV,2021-06-25 16:02:09,14.8961,-24.4956,77.04,73,15,6.15
52,Punta Arenas,CL,2021-06-25 16:02:09,-53.15,-70.9167,41.11,75,93,24.72
53,Nanortalik,GL,2021-06-25 16:02:10,60.1432,-45.2371,45.73,73,63,5.28
54,Namibe,AO,2021-06-25 16:02:10,-15.1961,12.1522,72.07,69,7,9.6
55,Harer,ET,2021-06-25 16:02:11,9.3094,42.1258,60.62,85,100,4.18
56,Wairoa,NZ,2021-06-25 16:02:11,-39.0333,177.3667,57.54,68,90,5.01
57,Vila,PT,2021-06-25 16:02:11,42.0304,-8.1588,81.73,41,100,4.97
58,Surazh,RU,2021-06-25 16:02:12,53.0175,32.3918,87.35,67,8,2.53
59,Kasongo-Lunda,CD,2021-06-25 16:02:12,-6.4667,16.8167,91.67,26,8,4.18
60,Hovd,MN,2021-06-25 16:02:13,48.0056,91.6419,61.75,29,100,5.28
61,Bluff,NZ,2021-06-25 16:02:13,-46.6,168.3333,47.8,91,72,6.69
62,Ixtapa,MX,2021-06-25 16:02:13,20.7,-105.2,84.22,74,63,4.0
63,Mehamn,NO,2021-06-25 16:02:14,71.0357,27.8492,49.51,75,72,20.67
64,Upernavik,GL,2021-06-25 16:02:14,72.7868,-56.1549,40.14,93,100,14.43
65,Asau,RO,2021-06-25 16:02:15,46.4333,26.4,83.32,89,78,5.59
66,Ushuaia,AR,2021-06-25 16:01:39,-54.8,-68.3,38.16,97,100,9.46
67,Kaitangata,NZ,2021-06-25 16:02:15,-46.2817,169.8464,45.64,94,96,2.84
68,Luis Correia,BR,2021-06-25 16:02:16,-2.8792,-41.6669,86.41,57,10,6.2
69,Richards Bay,ZA,2021-06-25 16:02:16,-28.783,32.0377,64.78,87,1,3.42
70,Beaucaire,FR,2021-06-25 16:02:17,43.8081,4.6442,85.03,34,0,10.36
71,Carnarvon,AU,2021-06-25 16:02:17,-24.8667,113.6333,63.03,36,66,13.0
72,Lata,PT,2021-06-25 16:02:18,40.1629,-8.3327,91.04,47,95,11.32
73,Fortuna,US,2021-06-25 15:57:56,40.5982,-124.1573,56.66,96,90,0.0
74,Geraldton,AU,2021-06-25 16:02:19,-28.7667,114.6,45.01,87,12,11.5
75,Bud,US,2021-06-25 16:02:19,39.447,-86.1758,76.89,88,100,14.07
76,Necochea,AR,2021-06-25 16:02:20,-38.5473,-58.7368,59.04,47,47,16.58
77,Mount Gambier,AU,2021-06-25 16:02:21,-37.8333,140.7667,47.89,88,98,5.08
78,Hithadhoo,MV,2021-06-25 16:02:21,-0.6,73.0833,83.32,67,99,6.62
79,Brae,GB,2021-06-25 16:02:21,60.3964,-1.353,53.51,73,43,19.33
80,Flinders,AU,2021-06-25 16:02:22,-34.5833,150.8552,53.38,73,17,1.99
81,Pimenteiras,BR,2021-06-25 16:02:23,-6.2453,-41.4192,94.14,27,6,7.07
82,Kiunga,PG,2021-06-25 16:02:23,-6.1219,141.2906,72.81,99,100,1.83
83,Tuktoyaktuk,CA,2021-06-25 16:02:24,69.4541,-133.0374,45.18,76,15,19.08
84,Khatanga,RU,2021-06-25 16:02:24,71.9667,102.5,48.79,48,100,13.0
85,Salalah,OM,2021-06-25 16:02:25,17.0151,54.0924,80.15,84,97,4.63
86,Cidreira,BR,2021-06-25 16:02:25,-30.1811,-50.2056,63.54,56,0,9.37
87,Seoul,KR,2021-06-25 16:02:13,37.5683,126.9778,72.79,73,100,3.83
88,Lagoa,PT,2021-06-25 16:02:26,39.05,-27.9833,67.3,74,1,4.16
89,Mokobeng,BW,2021-06-25 16:02:26,-22.9965,27.6678,67.96,28,0,2.48
90,Sakaiminato,JP,2021-06-25 16:02:27,35.55,133.2333,68.18,86,39,4.74
91,Gurupa,BR,2021-06-25 16:02:27,-1.405,-51.64,89.73,49,21,2.84
92,Aitape,PG,2021-06-25 16:02:27,-3.1374,142.3475,77.13,87,77,5.66
93,Pimentel,PE,2021-06-25 16:02:28,-6.8367,-79.9342,69.01,77,44,3.0
94,Qaqortoq,GL,2021-06-25 16:02:29,60.7167,-46.0333,47.71,75,82,3.62
95,Victoria,HK,2021-06-25 16:01:07,22.2855,114.1577,84.38,90,100,4.0
96,Acarau,BR,2021-06-25 16:02:29,-2.8856,-40.12,86.7,56,24,12.41
97,Porosozero,RU,2021-06-25 16:02:30,62.7191,32.727,74.43,67,39,2.35
98,Mar Del Plata,AR,2021-06-25 16:00:46,-38.0023,-57.5575,60.13,57,58,3.0
99,Saltabarranca,MX,2021-06-25 16:02:30,18.6,-95.5333,82.96,70,96,3.22
100,Aras,ES,2021-06-25 16:02:31,42.5617,-2.356,82.81,30,20,4.61
